codigo,descricao,anexo,fatorR
3250706,Serviços de prótese dentária,V,sim
3250709,Serviço de laboratório óptico,V,sim
4120400,Construção de edifícios,IV,nao
4211101,Construção de rodovias e ferrovias,IV,nao
4330499,Outras obras de acabamento,IV,nao
4391600,Obras de fundações,IV,nao
4399101,Administração de obras,III,nao
4512901,Representantes comerciais e agentes do comércio de veículos automotores,V,sim
4530702,Comércio por atacado de pneumáticos e câmaras-de-ar,I,nao
4530703,Comércio a varejo de peças e acessórios novos para veículos automotores,I,nao
4530704,Comércio a varejo de peças e acessórios usados para veículos automotores,I,nao
4530705,Comércio a varejo de pneumáticos e câmaras-de-ar,I,nao
4530706,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,V,sim
4541202,Comércio por atacado de peças e acessórios para motocicletas e motonetas,I,nao
4541206,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,I,nao
4541207,Comércio a varejo de peças e acessórios usados para motocicletas e motonetas,I,nao
4542101,Representantes comerciais e agentes do comércio de motocicletas e motonetas peças e acessórios,V,sim
4611700,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,V,sim
4612500,Representantes comerciais e agentes do comércio de combustíveis minerais produtos siderúrgicos e químicos,V,sim
4613300,Representantes comerciais e agentes do comércio de madeira material de construção e ferragens,V,sim
4614100,Representantes comerciais e agentes do comércio de máquinas equipamentos embarcações e aeronaves,V,sim
4615000,Representantes comerciais e agentes do comércio de eletrodomésticos móveis e artigos de uso doméstico,V,sim
4616800,Representantes comerciais e agentes do comércio de têxteis vestuário calçados e artigos de viagem,V,sim
4617600,Representantes comerciais e agentes do comércio de produtos alimentícios bebidas e fumo,V,sim
4618401,Representantes comerciais e agentes do comércio de medicamentos cosméticos e produtos de perfumaria,V,sim
4618402,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,V,sim
4618403,Representantes comerciais e agentes do comércio de jornais revistas e outras publicações,V,sim
4618499,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,V,sim
4619200,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,V,sim
4635401,Comércio atacadista de água mineral,I,nao
4635402,Comércio atacadista de cerveja chope e refrigerante,I,nao
4637104,Comércio atacadista de pães bolos biscoitos e similares,I,nao
4637105,Comércio atacadista de massas alimentícias,I,nao
4637106,Comércio atacadista de sorvetes,I,nao
4637107,Comércio atacadista de chocolates balas bombons,I,nao
4637199,Comércio atacadista de outros produtos alimentícios,I,nao
4639701,Comércio atacadista de produtos alimentícios em geral,I,nao
4641901,Comércio atacadista de tecidos,I,nao
4641902,Comércio atacadista de artigos de cama mesa e banho,I,nao
4641903,Comércio atacadista de artigos de armarinho,I,nao
4642701,Comércio atacadista de artigos do vestuário e acessórios,I,nao
4642702,Comércio atacadista de roupas profissionais e de segurança,I,nao
4643501,Comércio atacadista de calçados,I,nao
4643502,Comércio atacadista de bolsas malas e artigos de viagem,I,nao
4646001,Comércio atacadista de cosméticos e perfumaria,I,nao
4646002,Comércio atacadista de produtos de higiene pessoal,I,nao
4647801,Comércio atacadista de artigos de escritório e papelaria,I,nao
4647802,Comércio atacadista de livros jornais e publicações,I,nao
4649401,Comércio atacadista de equipamentos elétricos de uso pessoal,I,nao
4649402,Comércio atacadista de aparelhos eletrônicos de uso pessoal,I,nao
4649403,Comércio atacadista de bicicletas triciclos e veículos recreativos,I,nao
4649404,Comércio atacadista de móveis e artigos de colchoaria,I,nao
4649405,Comércio atacadista de artigos de tapeçaria persianas e cortinas,I,nao
4649406,Comércio atacadista de lustres luminárias e abajures,I,nao
4649407,Comércio atacadista de filmes CDs DVDs fitas e discos,I,nao
4649408,Comércio atacadista de produtos de higiene limpeza e conservação doméstica,I,nao
4649409,Comércio atacadista de higiene e limpeza com fracionamento,I,nao
4649410,Comércio atacadista de joias relógios e bijuterias,I,nao
4649499,Comércio atacadista de outros artigos de uso pessoal e doméstico,I,nao
4651601,Comércio atacadista de equipamentos de informática,I,nao
4651602,Comércio atacadista de suprimentos para informática,I,nao
4652400,Comércio atacadista de componentes eletrônicos e telefonia,I,nao
4679603,Comércio atacadista de vidros espelhos e vitrais,I,nao
4686902,Comércio atacadista de embalagens,I,nao
4691500,Comércio atacadista de mercadorias com predominância alimentícia,I,nao
4693100,Comércio atacadista de mercadorias em geral sem predominância,I,nao
4711301,Comércio varejista de mercadorias em geral com predominância de produtos alimentícios – hipermercados,I,nao
4711302,Comércio varejista de mercadorias em geral com predominância de produtos alimentícios – supermercados,I,nao
4712100,Comércio varejista de mercadorias em geral com predominância de produtos alimentícios – minimercados mercearias e armazéns,I,nao
4713002,Lojas de variedades exceto lojas de departamentos ou magazines,I,nao
4713004,Lojas de departamentos ou magazines exceto lojas francas (Duty free),I,nao
4721102,Padaria e confeitaria com predominância de revenda,I,nao
4721103,Comércio varejista de laticínios e frios,I,nao
4721104,Comércio varejista de doces balas bombons e semelhantes,I,nao
4723700,Comércio varejista de bebidas,I,nao
4724500,Comércio varejista de hortifrutigranjeiros,I,nao
4729601,Tabacaria,I,nao
